protein.Accession	UNIQID	gene	EC number	ProteinNames	GeneName	SequenceLength	H1	H2	H3	L1	L2	L3	PROTOTROPH1	PROTOTROPH2	PROTOTROPH3
P40024	YER036C	ARB1		ABC transporter ATP-binding protein ARB1 (ATP-binding cassette protein involved in ribosome biogenesis 1)	ARB1 YER036C	610	6111.73756	5888.843859	6488.790026	3305.426448	3474.499244	3578.670423	4636.318367	5905.801554	4670.667618
P40037	YER057C	HMF1		Protein HMF1 (High dosage growth inhibitor) (Homologous mitochondrial matrix factor 1)	HMF1 HIG1 YER057C	129	2120	2430	3499	2883	3888	3529	2070	2552	1962
P40047	YER073W	ALD5	1.2.1.5	"Aldehyde dehydrogenase 5, mitochondrial (EC 1.2.1.5)"	ALD5 ALD3 ALDH5 YER073W	520	1475.727856	1694.610574	1489.005022	7584.392191	9666.934455	9173.79005	1091.308487	1599.620594	1372.581449
P40054	YER081W	SER3	1.1.1.95	D-3-phosphoglycerate dehydrogenase 1 (3-PGDH 1) (EC 1.1.1.95)	SER3 YER081W	469	4060.714248	4080.678374	3191.797472	6783.223587	6546.98104	6806.795573	2876.210405	3542.101498	3060.226136
P40069	YER110C	KAP123		Importin subunit beta-4 (Importin-123) (Karyopherin subunit beta-4) (Karyopherin-123) (Ran-binding protein YRB4)	KAP123 YRB4 YER110C	1113	7061	7909	6374	4058	5135	5134	6319	6883	4549
P40075	YER120W	SCS2		Vesicle-associated membrane protein-associated protein SCS2 (VAMP-associated protein SCS2) (Choline sensitivity suppressor protein 2) (VAP homolog 1)	SCS2 YER120W	244	5508.194259	6003.624693	5080.794657	3595.208275	4661.165137	3965.622451	4267.634385	5192.497615	4569.665349
P40093	YER156C	YER156c		UPF0160 protein YER156C	YER156C	338	3288	3719	2942	2169	2726	2606	2664	3306	2798
P40106	YER062C	HOR2	3.1.3.21	Glycerol-1-phosphate phosphohydrolase 2 ((DL)-glycerol-3-phosphatase 2) (EC 3.1.3.21) (Hyperosmolarity-responsive protein 2)	HOR2 GPP2 YER062C	250	3851.210199	4475.814228	3957.731168	5099.358783	6193.018812	6616.074062	3484.808747	4623.658292	3735.965739
P40150	YNL209W	SSB2		Heat shock protein SSB2	SSB2 YNL209W N1333	613	26351.16449	27938.40224	24179.14242	13626.80821	15073.54776	5748.716813	20046.7327	22679.92932	18407.25683
P40185	YIL051C	MMF1		"Protein MMF1, mitochondrial (Isoleucine biosynthesis and maintenance of intact mitochondria 1) (Maintenance of mitochondrial function 1)"	MMF1 IBM1 YIL051C	145	5316.7934	6274.461691	6528.774871	7818.999154	8424.72543	8591.506216	5397.730186	5454.581927	4762.726501
P40202	YMR038C	CCS1		Superoxide dismutase 1 copper chaperone	CCS1 LYS7 YMR038C YM9532.03C	249	2059.920144	2344.116891	2712.567971	2407.488318	2776.684174	2659.499201	1107.849268	2520.320615	2051.21915
P40302	YMR314W	PRE5	3.4.25.1	Proteasome subunit alpha type-6 (EC 3.4.25.1) (Macropain subunit PRE5) (Multicatalytic endopeptidase complex subunit PRE5) (Proteasome component PRE5) (Proteinase YSCE subunit PRE5)	PRE5 YMR314W YM9924.06	234	3368	3599	2258	3302	3369	2238	3316	3107	2636
P40327	YDL007W	RPT2		26S protease regulatory subunit 4 homolog (Tat-binding homolog 5)	RPT2 YHS4 YTA5 YDL007W D2920	437	2284.966958	2710.129333	2243.556774	998.5088883	1432.979763	1341.372432	1246.210255	2349.034908	2023.921935
P40413	YJR064W	CCT5		T-complex protein 1 subunit epsilon (TCP-1-epsilon) (CCT-epsilon)	CCT5 TCP5 YJR064W J1752	562	4342	4304	3474	1886	2385	2634	3450	4205	2686
P40495	YIL094C	LYS12	1.1.1.87	"Homoisocitrate dehydrogenase, mitochondrial (HIcDH) (EC 1.1.1.87)"	LYS12 LYS10 LYS11 YIL094C YI9910.02C	371	3541.886096	4288.058383	3518.77905	4319.996021	4730.320812	4840.700826	3141.150305	3552.877393	2825.791486
P40510	YIL074C	SER33	1.1.1.95	D-3-phosphoglycerate dehydrogenase 2 (3-PGDH 2) (EC 1.1.1.95)	SER33 YIL074C	469	2938.254244	2911.20731	2357.966921	3346.343975	3482.825577	3664.459851	2302.744015	2675.455101	2224.798867
P40531	YIL041W	GVP36		Protein GVP36 (36 kDa Golgi vesicle protein)	GVP36 YIL041W	326	3869.222144	3941.293316	6218.8351	2302.268881	3615.143704	4248.725927	2974.853946	4182.812331	3048.220136
P40825	YOR335C	ALA1	6.1.1.7	"Alanine--tRNA ligase, mitochondrial (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)"	ALA1 CDC64 YOR335C	983	3858.405434	4787.014668	4478.560259	3137.552232	4367.124533	3778.763888	2831.719806	4397.569726	3964.039272
P41056	YOR234C	RPL33b		60S ribosomal protein L33-B (L37) (RP47) (YL37)	RPL33B RPL37B YOR234C O5224	107	30997	26563	23556	20467	19006	16627	22627	24536	19318
P41057	YLR388W	RPS29a		40S ribosomal protein S29-A (S36) (YS29)	RPS29A RPS36A YS29A YLR388W L8084.11	56	13750.44537	10916.87391	13823.29599	9397.019421	7992.309804	8465.221556	11084.44802	12755.6206	13191.84976
P41058	YDL061C	RPS29b		40S ribosomal protein S29-B (S36) (YS29)	RPS29B RPS36B YS29B YDL061C	56	8757.677338	10271.58219	9473.170542	5799.052555	7504.082199	6742.753114	5557.282582	10269.40435	8726.264252
P41277	YIL053W	RHR2	3.1.3.21	Glycerol-1-phosphate phosphohydrolase 1 ((DL)-glycerol-3-phosphatase 1) (EC 3.1.3.21) (Related to HOR2 protein 2)	RHR2 GPP1 YIL053W	250	19052.50784	22422.39197	14313.85767	35377.49957	35354.60566	33100.17244	18429.35295	23008.88554	15160.15916
P41338	YPL028W	ERG10	2.3.1.9	Acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (Ergosterol biosynthesis protein 10)	ERG10 YPL028W LPB3	398	9572.249489	9343.285267	8398.414636	12708.35481	13142.53543	11988.22547	9362.50079	9892.917177	7799.147878
P41805	YLR075W	RPL10		60S ribosomal protein L10 (L9) (Ubiquinol-cytochrome C reductase complex subunit VI-requiring protein)	RPL10 GRC5 QSR1 YLR075W	221	24682.45429	32764.10083	35288.90217	18905.48961	24079.78022	24862.29209	19054.98536	31141.76161	29550.01373
P41807	YPR036W	VMA13		V-type proton ATPase subunit H (V-ATPase subunit H) (V-ATPase 54 kDa subunit) (Vacuolar proton pump subunit H)	VMA13 CLS11 YPR036W YP3085.02	478	3781	3411	4082	1755	2567	2961	2520	2869	1749
P41810	YDR238C	SEC26		Coatomer subunit beta (Beta-coat protein) (Beta-COP)	SEC26 YDR238C YD8419.05C	973	2006	2193	2415	1034	1727	1953	1039	2115	1879
P41811	YGL137W	SEC27		Coatomer subunit beta' (Beta'-coat protein) (Beta'-COP)	SEC27 YGL137W G2827	889	2382.424674	3333.394714	2721.109154	1645.4777	2136.425594	1565.59453	1752.016422	3250.068147	2614.116867
P41921	YPL091W	GLR1	1.8.1.7	Glutathione reductase (GR) (GRase) (EC 1.8.1.7)	GLR1 YPL091W LPG17W	483	5226	4980	4809	4119	3810	3803	4504	4883	3650
P41940	YDL055C	PSA1	2.7.7.13	Mannose-1-phosphate guanyltransferase (EC 2.7.7.13) (ATP-mannose-1-phosphate guanylyltransferase) (GDP-mannose pyrophosphorylase) (NDP-hexose pyrophosphorylase)	PSA1 MPG1 SRB1 VIG9 YDL055C	361	23570.38512	24281.86791	23212.39947	11923.96824	11832.65591	11435.1732	19204.81322	21099.47481	17775.96298
P42943	YJL111W	CCT7		T-complex protein 1 subunit eta (TCP-1-eta) (CCT-eta)	CCT7 YJL111W J0804	550	3269.157384	3218.788437	2487.498141	1888.287054	2092.901813	1931.515467	2670.282382	3221.764113	2456.501577
P43123	YDL103C	QRI1	2.7.7.23	UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23)	QRI1 UAP1 YDL103C D2362	477	1794	2107	1179	829	1047	2040	1180	2128	1478
P43588	YFR004W	RPN11		26S proteasome regulatory subunit RPN11 (Protein MPR1)	RPN11 MPR1 YFR004W	306	3072	2919	2965	2291	2230	2519	2607	2818	2737
P43593	YFR010W	UBP6	3.4.19.12	Ubiquitin carboxyl-terminal hydrolase 6 (EC 3.4.19.12) (Deubiquitinating enzyme 6) (Ubiquitin thioesterase 6) (Ubiquitin-specific-processing protease 6)	UBP6 YFR010W	499	2919	3180	2890	1799	2338	2269	2194	3080	2410
P43616	YFR044C	DUG1	3.4.13.-	Cys-Gly metallodipeptidase DUG1 (EC 3.4.13.-) (Deficient in utilization of glutathione protein 1) (GSH degradosomal complex subunit DUG1)	DUG1 YFR044C	481	10549	10495	9737	7638	8334	10189	8504	8517	7062
P45978	YPR129W	SCD6		Protein SCD6	SCD6 YPR129W P9659.10	349	1409	2758	2492	914	2498	2025	1219	2398	2144
P46367	YOR374W	ALD4	1.2.1.5	"Potassium-activated aldehyde dehydrogenase, mitochondrial (EC 1.2.1.5) (K(+)-activated acetaldehyde dehydrogenase) (K(+)-ACDH)"	ALD4 ALD7 ALDH2 YOR374W O6730	519	1933.893992	2753.629078	2325.770849	1741.713853	2222.141148	2062.561747	1629.611067	2121.188691	1649.560372
P46655	YGL245W	GUS1	6.1.1.17	"Glutamate--tRNA ligase, cytoplasmic (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS) (P85)"	GUS1 YGL245W G0583 HRB724	708	5010.609417	6317.76058	6265.260074	3457.73671	4402.51288	4618.528845	3395.777313	5497.955384	4814.260813
P46672	YGL105W	ARC1		GU4 nucleic-binding protein 1 (G4p1 protein) (P42) (Protein ARC1)	ARC1 G4P1 YGL105W G3085	376	13087	14309	11736	10153	10340	9323	8170	13014	12326
P46680	YMR092C	AIP1		Actin-interacting protein 1	AIP1 YMR092C YM9582.17C	615	2341.749346	2499.196271	2198.678694	1756.244858	2344.896799	2118.973572	1531.707544	2246.601433	1846.726834
P46990	YJL177W	RPL17b		60S ribosomal protein L17-B (L20) (YL17)	RPL17B RPL20B YJL177W J0493	184	26533	18265	39535	9669	1920	17688	9451	18248	21480
P47039	YJL060W	BNA3	2.6.1.7	Probable kynurenine--oxoglutarate transaminase BNA3 (EC 2.6.1.7) (Biosynthesis of nicotinic acid protein 3) (Kynurenine aminotransferase)	BNA3 YJL060W J1138	444	1058	1099	1279	1528	1462	1633	966	1238	944
P47089	YJR014W	TMA22		Translation machinery-associated protein 22 (Density-regulated protein homolog)	TMA22 RBF22 YJR014W J1446 YJR83.12	198	2817	2954	3296	2759	3296	3256	1747	3017	2370
P47096	YJR025C	BNA1	1.13.11.6	"3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase) (3-HAO) (3-hydroxyanthranilic acid dioxygenase) (HAD) (Biosynthesis of nicotinic acid protein 1)"	BNA1 HAD1 YJR025C J1550	177	1509	2407	2830	7312	7812	8700	2092	2808	2755
P47120	YJR070C	LIA1	1.14.99.29	Deoxyhypusine hydroxylase (DOHH) (EC 1.14.99.29) (Deoxyhypusine dioxygenase) (Deoxyhypusine monooxygenase) (Ligand of eIF5A protein 1)	LIA1 MMD1 YJR070C J1814	325	2817	3300	3665	2365	2263	2433	2642	2984	2343
P47176	YJR148W	BAT2	2.6.1.42	"Branched-chain-amino-acid aminotransferase, cytosolic (BCAT) (EC 2.6.1.42) (Protein TWT2)"	BAT2 TWT2 YJR148W J2209	376	2772.095886	2940.194536	2611.780663	8420.609788	8798.883632	9446.416683	2660.947757	2808.999461	2539.938618
P48164	YNL096C	RPS7b		40S ribosomal protein S7-B	RPS7B YNL096C N2212	190	26033.37692	31292.88705	30964.27243	17306.4281	18417.46228	25577.32108	22943.73356	27445.20992	24685.37453
P48570	YDL182W	LYS20	2.3.3.14	"Homocitrate synthase, cytosolic isozyme (EC 2.3.3.14)"	LYS20 YDL182W D1298	428	5067.035942	5376.021934	4807.502218	9885.915626	10401.29909	10913.26915	4911.31003	4695.677801	3636.246903
P48589	YOR369C	RPS12		40S ribosomal protein S12	RPS12 YOR369C	143	52589.05507	16669.46835	75797.87257	28109.62165	39963.91451	50535.54899	36715.90937	51461.3954	48176.95071
P49089	YPR145W	ASN1	6.3.5.4	Asparagine synthetase [glutamine-hydrolyzing] 1 (EC 6.3.5.4) (Glutamine-dependent asparagine synthetase 1)	ASN1 YPR145W P9659.3	572	5489.115191	5735.96333	5303.816085	11858.4575	13813.66298	12284.12153	3939.081315	5149.823597	4566.681961
P49090	YGR124W	ASN2	6.3.5.4	Asparagine synthetase [glutamine-hydrolyzing] 2 (EC 6.3.5.4) (Glutamine-dependent asparagine synthetase 2)	ASN2 YGR124W G6358	572	9781	10647	9537	9480	7745	12880	6666	7781	7487
P49166	YLR185W	RPL37a		60S ribosomal protein L37-A (L43) (YL35) (YP55)	RPL37A RPL35A YLR185W L9470.6	88	23019.20894	28896.29018	27720.36187	14078.56882	20124.07312	19151.84952	14804.2198	22777.20942	23989.11453
P49334	YNL131W	TOM22		Mitochondrial import receptor subunit TOM22 (Mitochondrial 17 kDa assembly protein) (Mitochondrial 22 kDa outer membrane protein) (Protein MAS17) (Translocase of outer membrane 22 kDa subunit)	TOM22 MAS17 MAS22 MOM22 YNL131W N1217 N1862	152	3788	4503	4275	2154	2893	2919	3330	3329	3160
P49435	YML022W	APT1	2.4.2.7	Adenine phosphoribosyltransferase 1 (APRT 1) (EC 2.4.2.7)	APT1 YML022W	187	7685.146323	7564.833111	8347.081466	3622.20651	3262.280644	5293.105232	5891.159648	5058.320868	5176.363878
P49723	YGR180C	RNR4	1.17.4.1	Ribonucleoside-diphosphate reductase small chain 2 (EC 1.17.4.1) (Ribonucleotide reductase R2 subunit 2) (Ribonucleotide reductase small subunit 2)	RNR4 CRT3 YGR180C	345	8481.145826	9334.598952	8903.561121	7933.729577	10423.26263	11034.10632	7138.401063	8642.985225	6883.881172
P50094	YML056C	IMD4	1.1.1.205	Inosine-5'-monophosphate dehydrogenase 4 (IMP dehydrogenase 4) (IMPD 4) (IMPDH 4) (EC 1.1.1.205)	IMD4 YML056C YM9958.06C	524	3494	3635	2855	1525	1799	1423	3172	3346	3041
P50861	YOL143C	RIB4	2.5.1.78	"6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)"	RIB4 YOL143C	169	2640.008333	3196.845946	4066.906933	1981.874365	2316.598368	2866.35099	1626.818982	2643.30475	2145.54119
P51401	YNL067W	RPL9b		60S ribosomal protein L9-B (L8) (RP24) (YL11)	RPL9B RPL8B YNL067W N2406 YNL2406W	191	4748	6313	6071	4314	5928	6247	3644	5171	4288
P51402	YDR500C	RPL37b		60S ribosomal protein L37-B (L43) (YL35) (YP55)	RPL37B RPL35B YDR500C D9719.6	88	25851	30560	37457	12182	16810	20808	14263	31067	29896
P52490	YDR092W	UBC13	6.3.2.19	Ubiquitin-conjugating enzyme E2 13 (EC 6.3.2.19) (Ubiquitin carrier protein 13) (Ubiquitin-protein ligase 13)	UBC13 YDR092W YD6652.04	153	3740	3817	3197	3444	4019	3564	3318	3662	2598
P52910	YLR153C	ACS2	6.2.1.1	Acetyl-coenzyme A synthetase 2 (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acyl-activating enzyme 2)	ACS2 YLR153C L9634.10	683	6480.737896	7379.378549	6149.569639	5839.36789	7241.723773	6474.151812	3814.733822	6345.567419	5877.064596
P53090	YGL202W	ARO8	2.6.1.39	Aromatic/aminoadipate aminotransferase 1 (2-aminoadipate aminotransferase) (EC 2.6.1.39) (2-aminoadipate transaminase) (Alpha-aminoadipate aminotransferase) (AadAT) (Aromatic amino acid aminotransferase 1) (EC 2.6.1.57) (Aromatic amino acid aminotransferase I) (Aromatic amino acid-requiring protein 8)	ARO8 YGL202W	500	5303.517109	6009.368108	5264.562907	6702.180071	8095.516857	7140.846052	3985.25863	5532.521893	4419.519549
P53131	YGL120C	PRP43	3.6.4.13	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43 (EC 3.6.4.13) (Helicase JA1)	PRP43 YGL120C	767	4710	1213	1243	577	847	840	3219	1203	1016
P53183	YGL039W	YGL039w	1.1.1.-	Putative uncharacterized oxidoreductase YGL039W (EC 1.1.1.-)	YGL039W	348	2423.943069	3483.433651	2534.207568	3042.384591	4325.99399	3821.179399	2295.158382	3495.354918	2381.659086
P53199	YGL001C	ERG26	1.1.1.170	"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating (EC 1.1.1.170)"	ERG26 YGL001C	349	1471	1522	1398	2096	2555	1816	1506	1538	1440
P53221	YGR034W	RPL26b		60S ribosomal protein L26-B (L33) (YL33)	RPL26B RPL33B YGR034W	127	32067	34017	35671	23046	25454	23787	30175	30065	31995
P53252	YGR086C	PIL1		Sphingolipid long chain base-responsive protein PIL1	PIL1 YGR086C	339	7212.733185	9107.186228	8050.565198	5435.266691	6409.256431	4783.201856	6080.494141	8650.51825	6404.4636
P53295	YGR173W	RBG2		Ribosome-interacting GTPase 2 (GTP-binding protein RBG2)	RBG2 GIR1 YGR173W	368	1735	1651	1455	1466	1504	1155	1760	1481	1513
P53334	YGR279C	SCW4	3.2.1.-	Probable family 17 glucosidase SCW4 (EC 3.2.1.-) (Soluble cell wall protein 4)	SCW4 YGR279C	386	4219	5466	3015	2533	2731	2937	3687	4486	2837
P53598	YOR142W	LSC1	6.2.1.5	"Succinyl-CoA ligase [ADP-forming] subunit alpha, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)"	LSC1 YOR142W YOR3352W	329	6174.61683	5632.565046	5140.747027	4735.883022	6125.735303	5596.994193	4982.389487	6574.668737	4751.143862
P53633	YNL044W	YIP3		Prenylated Rab acceptor 1	YIP3 PRA1 YNL044W N2650	176	4617	5749	4553	3136	4501	4016	2797	4730	3369
P53691	YLR216C	CPR6	5.2.1.8	Peptidyl-prolyl cis-trans isomerase CPR6 (PPIase CPR6) (EC 5.2.1.8) (Rotamase CPR6)	CPR6 YLR216C L8167.24	371	4073.819006	4678.618744	6135.693818	3633.443551	4476.879707	5039.53528	3432.381935	4406.96499	3610.336032
P53723	YNR021W	YNR021w		UPF0674 endoplasmic reticulum membrane protein YNR021W	YNR021W N3216	404	2189	2072	1853	1094	2135	1513	1064	2155	1631
P53849	YNL255C	GIS2		Zinc finger protein GIS2	GIS2 YNL255C N0852	153	2996.230714	3309.514632	2324.687415	3981.062473	4157.606546	3748.286095	1635.626726	2836.969436	1835.360258
P53852	YNL247W	YNL247w	6.1.1.16	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	YNL247W N0885	767	1322	1408	1456	1671	1474	1167	1759	1467	1278
P53909	YNL141W	AAH1	3.5.4.2	Adenine deaminase (ADE) (EC 3.5.4.2) (Adenine aminohydrolase) (AAH)	AAH1 YNL141W N1208 N1825	347	2658	2526	2888	1134	1301	1324	2471	2157	1625
P53912	YNL134C	YNL134c		Uncharacterized protein YNL134C	YNL134C N1214 N1847	376	6684.152153	8040.387118	6290.760367	9813.369452	16083.80477	13465.74153	4715.663262	8237.502534	5993.860859
P54000	YMR039C	SUB1		RNA polymerase II transcriptional coactivator SUB1	SUB1 TSP1 YMR039C YM9532.04C	292	1125	1245	992	1189	1229	1306	891	1227	963
P54113	YLR028C	ADE16	2.1.2.3	Bifunctional purine biosynthesis protein ADE16 [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	ADE16 YLR028C	591	1728	2259	1868	2028	2580	2005	1874	2369	2434
P54115	YPL061W	ALD6	1.2.1.4	"Magnesium-activated aldehyde dehydrogenase, cytosolic (EC 1.2.1.4) (Mg(2+)-activated acetaldehyde dehydrogenase) (Mg(2+)-ACDH)"	ALD6 ALDH1 YPL061W LPE9	500	13637.61528	17095.33369	15809.94333	14279.35664	16311.30826	15874.77201	11049.8529	14759.19392	12115.03673
P54783	YML086C	ALO1	1.1.3.37	"D-arabinono-1,4-lactone oxidase (ALO) (EC 1.1.3.37) (L-galactono-gamma-lactone oxidase)"	ALO1 YML086C	526	3311	3721	3095	2039	3295	2992	1869	3771	3028
P54838	YML070W	DAK1	2.7.1.28	Dihydroxyacetone kinase 1 (DHA kinase 1) (EC 2.7.1.28) (EC 2.7.1.29) (Glycerone kinase 1) (Triokinase 1) (Triose kinase 1)	DAK1 YML070W	584	3307.738281	3675.041685	3363.837713	4138.142825	4233.158157	4119.112139	3675.057505	3591.121632	2864.531534
P54839	YML126C	ERG13	2.3.3.10	Hydroxymethylglutaryl-CoA synthase (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase)	ERG13 HMGS YML126C YM4987.09C	491	10580.04598	9267.723039	8446.943182	8215.675935	9161.579593	7316.194947	9604.958751	9554.880846	7672.334239
P54885	YOR323C	PRO2	1.2.1.41	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (GSA dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)	PRO2 YOR323C O6155	456	4337.154482	6484.453716	5495.865355	5950.744911	8453.910042	7188.93344	3445.767694	7033.32688	5301.051311
P60010	YFL039C	ACT1		Actin	ACT1 ABY1 END7 YFL039C	375	41478.24343	43240.64865	39099.04691	34959.17309	43929.16821	41706.65606	29470.79882	39522.95166	36084.77025
P61830	YBR010W	HHT1		Histone H3	HHT1 YBR010W YBR0201; HHT2 SIN2 YNL031C N2749	136	17662.66741	17995.764	18362.47301	12724.67159	13498.38698	13281.87483	12283.2304	15349.59022	17419.10201
P61830	YNL031C	HHT2		Histone H3	HHT1 YBR010W YBR0201; HHT2 SIN2 YNL031C N2749	136	17662.66741	17995.764	18362.47301	12724.67159	13498.38698	13281.87483	12283.2304	15349.59022	17419.10201
P80210	YNL220W	ADE12	6.3.4.4	Adenylosuccinate synthetase (AMPSase) (AS-synthetase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	ADE12 YNL220W N1290	433	4872.646509	4840.618349	4588.895946	6435.234261	5635.542831	6575.956204	3718.205212	4593.196273	3834.82203
Q00055	YDL022W	GPD1	1.1.1.8	Glycerol-3-phosphate dehydrogenase [NAD(+)] 1 (EC 1.1.1.8)	GPD1 DAR1 HOR1 OSG1 YDL022W D2830	391	4173.446612	5488.563787	5613.473944	5364.114578	6084.233231	6433.421876	4330.168818	4760.561624	3953.818932
Q00245	YIL118W	RHO3		GTP-binding protein RHO3	RHO3 YIL118W	231	1644.23356	1482.37647	1284.591764	1217.397634	1529.820905	1168.422013	1632.932026	1630.264396	1243.20473
Q00764	YBR126C	TPS1	2.4.1.15	"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit (EC 2.4.1.15) (General glucose sensor subunit 1) (Glycogen metabolism control protein GLC6) (Trehalose synthase complex catalytic subunit TPS1) (Trehalose-6-phosphate synthase) (UDP-glucose-glucosephosphate glucosyltransferase)"	TPS1 BYP1 CIF1 FDP1 GGS1 GLC6 TSS1 YBR126C YBR0922	495	3998.345335	4778.15948	4962.436357	4650.232491	4616.485821	4382.265062	3776.937017	4488.554015	3412.757856
Q01217	YER069W	ARG5	1.2.1.38	"Protein ARG5,6, mitochondrial [Cleaved into: N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase); Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (AGK)]"	"ARG5,6 YER069W"	863	1734.391824	2426.117887	2427.395724	5122.149256	6125.816843	5947.60498	1431.43704	2304.124129	2166.217671
Q01532	YNL239W	LAP3	3.4.22.40	"Cysteine proteinase 1, mitochondrial (EC 3.4.22.40) (Bleomycin hydrolase) (BLM hydrolase) (Homocysteine-thiolactonase) (HTLase) (Hcy-thiolactonase) (Leucine aminopeptidase 3) (Y3)"	LAP3 BLH1 GAL6 YCP1 YNL239W N1118	483	7560	4808	2969	3724	2967	1299	4918	4085	2831
Q01662	YLR244C	MAP1	3.4.11.18	Methionine aminopeptidase 1 (MAP 1) (MetAP 1) (EC 3.4.11.18) (Peptidase M 1)	MAP1 YLR244C L9672.12	387	3991.782309	4131.031832	4616.540371	2716.119106	3851.254341	3534.801267	2481.347013	4221.073797	3369.36819
Q01852	YIL022W	TIM44		Mitochondrial import inner membrane translocase subunit TIM44 (Inner membrane import site protein 45) (ISP45) (Membrane import machinery protein MIM44) (Mitochondrial protein import protein 1)	TIM44 ISP45 MIM44 MPI1 YIL022W	431	1582.336879	2318.522159	2218.889812	1225.463178	1962.109834	1798.42431	1303.093243	1905.289479	1948.383946
Q02326	YML073C	RPL6a		60S ribosomal protein L6-A (L17) (RP18) (YL16)	RPL6A RPL17A YL16A YML073C	176	20140	31640	29202	15166	20759	24873	19252	29799	25030
Q03048	YLL050C	COF1		Cofilin (Actin-depolymerizing factor 1)	COF1 YLL050C L0596	143	8671.728337	9749.172884	9200.446527	6709.024089	8729.172611	14780.85813	1793.285645	6198.942138	6961.790748
Q03161	YMR099C	YMR099c	5.1.3.15	Glucose-6-phosphate 1-epimerase (EC 5.1.3.15) (D-hexose-6-phosphate mutarotase)	YMR099C YM6543.06C	297	1395	1602	1902	1170	1414	1494	730	1310	1358
Q03558	YHR179W	OYE2	1.6.99.1	NADPH dehydrogenase 2 (EC 1.6.99.1) (Old yellow enzyme 2)	OYE2 YHR179W	400	6876.937691	7631.858489	6771.582164	7540.615492	8843.664399	7782.712381	5858.033117	7166.150431	5301.765555
Q03835	YDR098C	GRX3		Monothiol glutaredoxin-3	GRX3 YDR098C YD8557.05C	285	4074.159054	3953.694981	3661.183825	3843.338393	4349.0192	3716.602615	3481.522512	3612.54647	2937.471021
Q03940	YDR190C	RVB1	3.6.4.12	RuvB-like protein 1 (RUVBL1) (EC 3.6.4.12) (TIP49-homology protein 1) (TIP49a homolog)	RVB1 TIH1 TIP49A YDR190C	463	6331	5460	4564	8162	13018	5123	1357	5793	4886
Q03973	YDR174W	HMO1		High mobility group protein 1 (High spontaneous mutagenesis protein 2)	HMO1 HSM2 YDR174W YD9395.07	246	3155	4762	3725	2623	4340	3766	2399	3742	3018
Q04067	YDR429C	TIF35		Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Translation initiation factor eIF3 p33 subunit) (eIF3 p33)	TIF35 YDR429C D9461.16	274	3258.660907	3354.689119	3487.194421	1585.642349	2291.792005	2363.154719	2348.324417	3349.446419	2724.255544
Q04120	YDR453C	TSA2	1.11.1.15	Peroxiredoxin TSA2 (EC 1.11.1.15) (Cytoplasmic thiol peroxidase 2) (cTPx 2) (Thiol-specific antioxidant protein 2) (Thioredoxin peroxidase 2)	TSA2 YDR453C D9461.38	196	3213	2919	3813	2825	3640	3672	2654	3549	4111
Q04344	YDL125C	HNT1	3.-.-.-	Hit family protein 1 (EC 3.-.-.-) (Adenosine 5'-monophosphoramidase)	HNT1 HIT1 YDL125C	158	3544.288927	3571.595162	3979.59998	3538.510986	4425.181578	5367.104061	2985.067168	3720.34192	3382.096539
Q04371	YMR027W	YMR027w		UPF0364 protein YMR027W	YMR027W YM9711.17	470	1069	1356	1112	606	824	930	762	853	807
Q04491	YLR208W	SEC13		Protein transport protein SEC13	SEC13 ANU3 YLR208W L8167.4	297	5484	5790	5676	4145	4786	4356	4666	5325	4696
